weather_id,city_id,date_time,local_time,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,weather_main,weather_description,weather_icon,sunrise,sunset
778,56,2025-06-26 11:54:00,2025-06-26 18:54:00,30.12,35.84,29.95,31.1,1009,72,10000,3.6,140,75,Clouds,broken clouds,04n,2025-06-25 23:02:00,2025-06-26 11:13:00
779,59,2025-06-26 11:45:00,2025-06-26 12:45:00,30.39,30.99,29.34,33.58,1018,46,10000,4.63,120,20,Clouds,few clouds,02d,2025-06-26 04:19:00,2025-06-26 19:29:00
780,65,2025-06-26 11:54:00,2025-06-26 20:54:00,8.58,5.69,6.3,9.83,1029,69,10000,5.32,214,64,Clouds,broken clouds,04n,2025-06-25 21:01:00,2025-06-26 06:55:00
781,1,2025-06-26 14:56:00,2025-06-26 22:56:00,25.65,26.33,24.32,26.46,1005,79,10000,7.72,210,75,Clouds,broken clouds,04n,2025-06-25 19:27:00,2025-06-26 10:01:00
782,2,2025-06-26 20:13:00,2025-06-27 00:43:00,31.06,37.76,31.06,31.06,1000,70,4500,4.63,90,20,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
783,3,2025-06-26 20:13:00,2025-06-27 03:13:00,26.99,NaN,26.99,26.99,1007,83,10000,NaN,0,0,Clear,clear sky,01n,2025-06-26 20:52:00,2025-06-27 11:02:00
784,27,2025-06-26 20:05:00,2025-06-26 21:05:00,24.51,24.64,23.88,25.4,1020,62,10000,4.63,230,100,Clouds,overcast clouds,04n,2025-06-26 03:49:00,2025-06-26 19:58:00
785,30,2025-06-26 20:13:00,2025-06-27 04:13:00,20.13,20.68,20.13,20.13,1009,95,10000,0.61,240,99,Clouds,overcast clouds,04d,2025-06-26 20:12:00,2025-06-27 10:57:00
786,33,2025-06-26 20:11:00,2025-06-26 20:11:00,19.72,18.97,18.36,20.59,1016,47,10000,4.47,328,57,Clouds,broken clouds,04d,2025-06-26 03:45:00,2025-06-26 20:22:00
787,44,2025-06-26 20:13:00,2025-06-26 15:13:00,24.16,24.22,22.24,25.08,1018,61,10000,6.17,50,100,Clouds,overcast clouds,04d,2025-06-26 09:26:00,2025-06-27 00:31:00
